code,name,type,abbr,full
002768,华安安进灵活配置混合发起式A,混合型-灵活,HAAJLHPZHHFQSA,HUAANANJINLINGHUOPEIZHIHUNHEFAQISHIA
002769,兴业短债债券C,债券型-中短债,XYDZZQC,XINGYEDUANZHAIZHAIQUANC
002770,安信新回报混合A,混合型-灵活,AXXHBHHA,ANXINXINHUIBAOHUNHEA
002771,安信新回报混合C,混合型-灵活,AXXHBHHC,ANXINXINHUIBAOHUNHEC
002772,光大产业新动力混合A,混合型-灵活,GDCYXDLHHA,GUANGDACHANYEXINDONGLIHUNHEA
002775,博时景兴纯债债券,债券型-长债,BSJXCZZQ,BOSHIJINGXINGCHUNZHAIZHAIQUAN
002776,招商安荣混合A,混合型-灵活,ZSARHHA,ZHAOSHANGANRONGHUNHEA
002777,招商安荣混合C,混合型-灵活,ZSARHHC,ZHAOSHANGANRONGHUNHEC
002778,新疆前海联合新思路混合A,混合型-灵活,XJQHLHXSLHHA,XINJIANGQIANHAILIANHEXINSILUHUNHEA
002779,新疆前海联合新思路混合C,混合型-灵活,XJQHLHXSLHHC,XINJIANGQIANHAILIANHEXINSILUHUNHEC
002780,前海联合泓鑫混合A,混合型-灵活,QHLHHXHHA,QIANHAILIANHEHONGXINHUNHEA
002781,博时聚瑞6个月定开债,债券型-长债,BSJR6GYDKZ,BOSHIJURUI6GEYUEDINGKAIZHAI
002783,东方红价值精选混合A,混合型-偏债,DFHJZJXHHA,DONGFANGHONGJIAZHIJINGXUANHUNHEA
002784,东方红价值精选混合C,混合型-偏债,DFHJZJXHHC,DONGFANGHONGJIAZHIJINGXUANHUNHEC
002788,融通现金宝货币A,货币型-普通货币,RTXJBHBA,RONGTONGXIANJINBAOHUOBIA
002792,景顺长城顺益回报混合A,混合型-偏债,JSCCSYHBHHA,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEA
002793,景顺长城顺益回报混合C,混合型-偏债,JSCCSYHBHHC,JINGSHUNCHANGCHENGSHUNYIHUIBAOHUNHEC
002794,天弘永利债券E,债券型-混合二级,THYLZQE,TIANHONGYONGLIZHAIQUANE
002795,平安惠盈纯债A,债券型-长债,PAHYCZA,PINGANHUIYINGCHUNZHAIA
002796,景顺长城景盈双利债券A,债券型-混合二级,JSCCJYSLZQA,JINGSHUNCHANGCHENGJINGYINGSHUANGLIZHAIQUANA
002797,景顺长城景盈双利债券C,债券型-混合二级,JSCCJYSLZQC,JINGSHUNCHANGCHENGJINGYINGSHUANGLIZHAIQUANC
002801,泓德泓信混合,混合型-灵活,HDHXHH,HONGDEHONGXINHUNHE
002802,广发东财大数据精选混合A,混合型-灵活,GFDCDSJJXHHA,GUANGFADONGCAIDASHUJUJINGXUANHUNHEA
002803,东方红沪港深混合,混合型-灵活,DFHHGSHH,DONGFANGHONGHUGANGSHENHUNHE
002804,华泰柏瑞量化对冲,混合型-绝对收益,HTBRLHDC,HUATAIBAIRUILIANGHUADUICHONG
002805,浙商汇金聚利一年定开债A,债券型-混合一级,ZSHJJLYNDKZA,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIA
002806,浙商汇金聚利一年定开债C,债券型-混合一级,ZSHJJLYNDKZC,ZHESHANGHUIJINJULIYINIANDINGKAIZHAIC
002807,融通通安债券,债券型-长债,RTTAZQ,RONGTONGTONGANZHAIQUAN
002808,泓德优势领航混合,混合型-灵活,HDYSLHHH,HONGDEYOUSHILINGHANGHUNHE
002810,金信转型创新成长混合发起式,混合型-灵活,JXZXCXCZHHFQS,JINXINZHUANXINGCHUANGXINCHENGZHANGHUNHEFAQISHI
002811,博时裕顺纯债债券,债券型-长债,BSYSCZZQ,BOSHIYUSHUNCHUNZHAIZHAIQUAN
002812,博时裕通定开债C,债券型-长债,BSYTDKZC,BOSHIYUTONGDINGKAIZHAIC
002817,招商招恒纯债A,债券型-长债,ZSZHCZA,ZHAOSHANGZHAOHENGCHUNZHAIA
002818,招商招恒纯债C,债券型-长债,ZSZHCZC,ZHAOSHANGZHAOHENGCHUNZHAIC
002819,招商丰美混合A,混合型-灵活,ZSFMHHA,ZHAOSHANGFENGMEIHUNHEA
002820,招商丰美混合C,混合型-灵活,ZSFMHHC,ZHAOSHANGFENGMEIHUNHEC
002825,融通通和债券,债券型-长债,RTTHZQ,RONGTONGTONGHEZHAIQUAN
002826,中银永利半年定开债,债券型-长债,ZYYLBNDKZ,ZHONGYINYONGLIBANNIANDINGKAIZHAI
002828,南方现金增利货币E,货币型-普通货币,NFXJZLHBE,NANFANGXIANJINZENGLIHUOBIE
002829,南方现金增利货币F,货币型-普通货币,NFXJZLHBF,NANFANGXIANJINZENGLIHUOBIF
002830,浙商惠丰定开债,债券型-长债,ZSHFDKZ,ZHESHANGHUIFENGDINGKAIZHAI
002832,工银恒享纯债债券A,债券型-长债,GYHXCZZQA,GONGYINHENGXIANGCHUNZHAIZHAIQUANA
002833,华夏新锦绣混合A,混合型-灵活,HXXJXHHA,HUAXIAXINJINXIUHUNHEA
002834,华夏新锦绣混合C,混合型-灵活,HXXJXHHC,HUAXIAXINJINXIUHUNHEC
002837,华夏网购精选混合A,混合型-灵活,HXWGJXHHA,HUAXIAWANGGOUJINGXUANHUNHEA
002838,华夏新锦程混合A,混合型-灵活,HXXJCHHA,HUAXIAXINJINCHENGHUNHEA
002839,华夏新锦程混合C,混合型-灵活,HXXJCHHC,HUAXIAXINJINCHENGHUNHEC
002844,金鹰多元策略混合,混合型-灵活,JYDYCLHH,JINYINGDUOYUANCELUEHUNHE
002846,泓德泓华混合,混合型-灵活,HDHHHH,HONGDEHONGHUAHUNHE
002847,天弘现金管家货币E,货币型-普通货币,THXJGJHBE,TIANHONGXIANJINGUANJIAHUOBIE
002849,金信智能中国2025混合,混合型-灵活,JXZNZG2025HH,JINXINZHINENGZHONGGUO2025HUNHE
002851,南方品质优选灵活配置混合A,混合型-灵活,NFPZYXLHPZHHA,NANFANGPINZHIYOUXUANLINGHUOPEIZHIHUNHEA
002852,招商财富宝交易型货币A,货币型-普通货币,ZSCFBJYXHBA,ZHAOSHANGCAIFUBAOJIAOYIXINGHUOBIA
002855,博时现金宝货币C,货币型-普通货币,BSXJBHBC,BOSHIXIANJINBAOHUOBIC
002858,长信富平纯债一年定开债A,债券型-长债,CXFPCZYNDKZA,CHANGXINFUPINGCHUNZHAIYINIANDINGKAIZHAIA
002859,长信富平纯债一年定开债C,债券型-长债,CXFPCZYNDKZC,CHANGXINFUPINGCHUNZHAIYINIANDINGKAIZHAIC
002860,前海开源沪港深新机遇混合A,混合型-灵活,QHKYHGSXJYHHA,QIANHAIKAIYUANHUGANGSHENXINJIYUHUNHEA
002861,工银智能制造股票,股票型,GYZNZZGP,GONGYINZHINENGZHIZAOGUPIAO
002862,金信量化精选混合,混合型-灵活,JXLHJXHH,JINXINLIANGHUAJINGXUANHUNHE
002863,金信深圳成长混合发起式,混合型-灵活,JXSZCZHHFQS,JINXINSHENZHENCHENGZHANGHUNHEFAQISHI
002864,广发安泽短债债券A,债券型-中短债,GFAZDZZQA,GUANGFAANZEDUANZHAIZHAIQUANA
002865,广发安泽短债债券C,债券型-中短债,GFAZDZZQC,GUANGFAANZEDUANZHAIZHAIQUANC
002868,鹏华丰茂债券,债券型-长债,PHFMZQ,PENGHUAFENGMAOZHAIQUAN
002869,融通通裕定开债,债券型-长债,RTTYDKZ,RONGTONGTONGYUDINGKAIZHAI
002871,华夏智胜价值成长A,股票型,HXZSJZCZA,HUAXIAZHISHENGJIAZHICHENGZHANGA
002872,华夏智胜价值成长C,股票型,HXZSJZCZC,HUAXIAZHISHENGJIAZHICHENGZHANGC
002877,华夏大中华信用债A,QDII-纯债,HXDZHXYZA,HUAXIADAZHONGHUAXINYONGZHAIA
002878,华夏大中华信用债美元现汇A,QDII-纯债,HXDZHXYZMYXHA,HUAXIADAZHONGHUAXINYONGZHAIMEIYUANXIANHUIA
002879,华夏大中华信用债美元现钞A,QDII-纯债,HXDZHXYZMYXCA,HUAXIADAZHONGHUAXINYONGZHAIMEIYUANXIANCHAOA
002880,华夏大中华信用债C,QDII-纯债,HXDZHXYZC,HUAXIADAZHONGHUAXINYONGZHAIC
002881,中加丰润纯债债券A,债券型-长债,ZJFRCZZQA,ZHONGJIAFENGRUNCHUNZHAIZHAIQUANA
002882,中加丰润纯债债券C,债券型-长债,ZJFRCZZQC,ZHONGJIAFENGRUNCHUNZHAIZHAIQUANC
002883,华润元大现金通货币A,货币型-普通货币,HRYDXJTHBA,HUARUNYUANDAXIANJINTONGHUOBIA
002884,华润元大现金通货币B,货币型-普通货币,HRYDXJTHBB,HUARUNYUANDAXIANJINTONGHUOBIB
002885,大摩万众创新混合A,混合型-灵活,DMWZCXHHA,DAMOWANZHONGCHUANGXINHUNHEA
002889,交银天利宝货币A,货币型-普通货币,JYTLBHBA,JIAOYINTIANLIBAOHUOBIA
002890,交银天利宝货币E,货币型-普通货币,JYTLBHBE,JIAOYINTIANLIBAOHUOBIE
002891,华夏移动互联混合人民币,QDII-混合灵活,HXYDHLHHRMB,HUAXIAYIDONGHULIANHUNHERENMINBI
002892,华夏移动互联混合美元现汇,QDII-混合灵活,HXYDHLHHMYXH,HUAXIAYIDONGHULIANHUNHEMEIYUANXIANHUI
002893,华夏移动互联混合美元现钞,QDII-混合灵活,HXYDHLHHMYXC,HUAXIAYIDONGHULIANHUNHEMEIYUANXIANCHAO
002894,华夏天利货币A,货币型-普通货币,HXTLHBA,HUAXIATIANLIHUOBIA
002895,华夏天利货币B,货币型-普通货币,HXTLHBB,HUAXIATIANLIHUOBIB
002898,富国两年期理财债券A,债券型-长债,FGLNQLCZQA,FUGUOLIANGNIANQILICAIZHAIQUANA
002899,富国两年期理财债券C,债券型-长债,FGLNQLCZQC,FUGUOLIANGNIANQILICAIZHAIQUANC
002900,南方中证500信息技术联接A,指数型-股票,NFZZ500XXJSLJA,NANFANGZHONGZHENG500XINXIJISHULIANJIEA
002901,财通资管积极收益债券A,债券型-混合二级,CTZGJJSYZQA,CAITONGZIGUANJIJISHOUYIZHAIQUANA
002902,财通资管积极收益债券C,债券型-混合二级,CTZGJJSYZQC,CAITONGZIGUANJIJISHOUYIZHAIQUANC
002903,广发中证500ETF联接C,指数型-股票,GFZZ500ETFLJC,GUANGFAZHONGZHENG500ETFLIANJIEC
002904,博时安仁一年定开发起式债券A,债券型-长债,BSARYNDKFQSZQA,BOSHIANRENYINIANDINGKAIFAQISHIZHAIQUANA
002905,博时安仁一年定开发起式债券C,债券型-长债,BSARYNDKFQSZQC,BOSHIANRENYINIANDINGKAIFAQISHIZHAIQUANC
002906,南方中证500量化增强A,指数型-股票,NFZZ500LHZQA,NANFANGZHONGZHENG500LIANGHUAZENGQIANGA
002907,南方中证500量化增强C,指数型-股票,NFZZ500LHZQC,NANFANGZHONGZHENG500LIANGHUAZENGQIANGC
002908,富国睿利定开混合发起A,混合型-偏债,FGRLDKHHFQA,FUGUORUILIDINGKAIHUNHEFAQIA
002910,易方达供给改革混合,混合型-灵活,YFDGJGGHH,YIFANGDAGONGJIGAIGEHUNHE
002912,兴业稳天盈货币A,货币型-普通货币,XYWTYHBA,XINGYEWENTIANYINGHUOBIA
002915,鑫元裕利债券,债券型-长债,XYYLZQ,XINYUANYULIZHAIQUAN
002917,嘉实活钱包货币E,货币型-普通货币,JSHQBHBE,JIASHIHUOQIANBAOHUOBIE
002918,交银现金宝货币E,货币型-普通货币,JYXJBHBE,JIAOYINXIANJINBAOHUOBIE
002919,东吴智慧医疗量化混合A,混合型-灵活,DWZHYLLHHHA,DONGWUZHIHUIYILIAOLIANGHUAHUNHEA
002920,中欧短债债券A,债券型-中短债,ZODZZQA,ZHONGOUDUANZHAIZHAIQUANA
002923,兴业聚惠混合C,混合型-偏债,XYJHHHC,XINGYEJUHUIHUNHEC
002924,华商瑞鑫定开债,债券型-混合二级,HSRXDKZ,HUASHANGRUIXINDINGKAIZHAI
002925,广发集源债券A,债券型-混合二级,GFJYZQA,GUANGFAJIYUANZHAIQUANA
002926,广发集源债券C,债券型-混合二级,GFJYZQC,GUANGFAJIYUANZHAIQUANC
002927,长盛盛和纯债A,债券型-长债,CSSHCZA,CHANGSHENGSHENGHECHUNZHAIA
002928,长盛盛和纯债C,债券型-长债,CSSHCZC,CHANGSHENGSHENGHECHUNZHAIC
002929,博时聚盈纯债债券,债券型-长债,BSJYCZZQ,BOSHIJUYINGCHUNZHAIZHAIQUAN
002930,博时聚润纯债债券,债券型-长债,BSJRCZZQ,BOSHIJURUNCHUNZHAIZHAIQUAN
002932,圆信永丰强化收益A,债券型-混合二级,YXYFQHSYA,YUANXINYONGFENGQIANGHUASHOUYIA
002933,圆信永丰强化收益C,债券型-混合二级,YXYFQHSYC,YUANXINYONGFENGQIANGHUASHOUYIC
002934,泰康恒泰回报混合A,混合型-灵活,TKHTHBHHA,TAIKANGHENGTAIHUIBAOHUNHEA
002935,泰康恒泰回报混合C,混合型-灵活,TKHTHBHHC,TAIKANGHENGTAIHUIBAOHUNHEC
002936,华夏沃利货币A,货币型-普通货币,HXWLHBA,HUAXIAWOLIHUOBIA
002937,华夏沃利货币B,货币型-普通货币,HXWLHBB,HUAXIAWOLIHUOBIB
002938,中银证券健康产业混合,混合型-灵活,ZYZQJKCYHH,ZHONGYINZHENGQUANJIANKANGCHANYEHUNHE
002939,广发创新升级混合,混合型-灵活,GFCXSJHH,GUANGFACHUANGXINSHENGJIHUNHE
002943,广发多因子混合,混合型-灵活,GFDYZHH,GUANGFADUOYINZIHUNHE
002945,大成盛世精选混合A,混合型-灵活,DCSSJXHHA,DACHENGSHENGSHIJINGXUANHUNHEA
002946,大成景盛一年定开债A,债券型-混合二级,DCJSYNDKZA,DACHENGJINGSHENGYINIANDINGKAIZHAIA
002947,大成景盛一年定开债C,债券型-混合二级,DCJSYNDKZC,DACHENGJINGSHENGYINIANDINGKAIZHAIC
002952,建信多因子量化股票,股票型,JXDYZLHGP,JIANXINDUOYINZILIANGHUAGUPIAO
002955,融通新趋势灵活配置混合,混合型-灵活,RTXQSLHPZHH,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
002956,融通新趋势灵活配置混合(后端),混合型-灵活,RTXQSLHPZHH,RONGTONGXINQUSHILINGHUOPEIZHIHUNHE
002957,财通财通宝货币A,货币型-普通货币,CTCTBHBA,CAITONGCAITONGBAOHUOBIA
002958,财通财通宝货币B,货币型-普通货币,CTCTBHBB,CAITONGCAITONGBAOHUOBIB
002959,汇添富盈泰混合,混合型-灵活,HTFYTHH,HUITIANFUYINGTAIHUNHE
002960,博时合利货币B,货币型-普通货币,BSHLHBB,BOSHIHELIHUOBIB
002961,中欧双利债券A,债券型-混合二级,ZOSLZQA,ZHONGOUSHUANGLIZHAIQUANA
002962,中欧双利债券C,债券型-混合二级,ZOSLZQC,ZHONGOUSHUANGLIZHAIQUANC
002963,易方达黄金ETF联接C,指数型-其他,YFDHJETFLJC,YIFANGDAHUANGJINETFLIANJIEC
002964,国投瑞银顺鑫定开,债券型-长债,GTRYSXDK,GUOTOURUIYINSHUNXINDINGKAI
002965,中海合嘉增强收益债券A,债券型-混合二级,ZHHJZQSYZQA,ZHONGHAIHEJIAZENGQIANGSHOUYIZHAIQUANA
002966,中海合嘉增强收益债券C,债券型-混合二级,ZHHJZQSYZQC,ZHONGHAIHEJIAZENGQIANGSHOUYIZHAIQUANC
002967,浙商大数据智选消费混合A,混合型-灵活,ZSDSJZXXFHHA,ZHESHANGDASHUJUZHIXUANXIAOFEIHUNHEA
002969,易方达丰和债券A,债券型-混合二级,YFDFHZQA,YIFANGDAFENGHEZHAIQUANA
002970,博时裕昂纯债债券,债券型-长债,BSYACZZQ,BOSHIYUANGCHUNZHAIZHAIQUAN
002971,前海开源鼎安债券A,债券型-混合二级,QHKYDAZQA,QIANHAIKAIYUANDINGANZHAIQUANA
002972,前海开源鼎安债券C,债券型-混合二级,QHKYDAZQC,QIANHAIKAIYUANDINGANZHAIQUANC
002974,广发信息技术联接C,指数型-股票,GFXXJSLJC,GUANGFAXINXIJISHULIANJIEC
002977,广发中证全指可选消费联接C,指数型-股票,GFZZQZKXXFLJC,GUANGFAZHONGZHENGQUANZHIKEXUANXIAOFEILIANJIEC
002978,广发医药卫生联接C,指数型-股票,GFYYWSLJC,GUANGFAYIYAOWEISHENGLIANJIEC
002979,广发中证全指金融地产联接C,指数型-股票,GFZZQZJRDCLJC,GUANGFAZHONGZHENGQUANZHIJINRONGDICHANLIANJIEC
002980,华夏创新前沿股票,股票型,HXCXQYGP,HUAXIACHUANGXINQIANYANGUPIAO
002982,广发养老指数C,指数型-股票,GFYLZSC,GUANGFAYANGLAOZHISHUC
002983,长信国防军工量化混合A,混合型-灵活,CXGFJGLHHHA,CHANGXINGUOFANGJUNGONGLIANGHUAHUNHEA
002984,广发中证环保ETF联接C,指数型-股票,GFZZHBETFLJC,GUANGFAZHONGZHENGHUANBAOETFLIANJIEC
002985,中银季季红定开债,债券型-长债,ZYJJHDKZ,ZHONGYINJIJIHONGDINGKAIZHAI
002986,泰康丰盈债券A,债券型-混合二级,TKFYZQA,TAIKANGFENGYINGZHAIQUANA
002987,广发沪深300ETF联接C,指数型-股票,GFHS300ETFLJC,GUANGFAHUSHEN300ETFLIANJIEC
002988,平安鼎信债券,债券型-混合二级,PADXZQ,PINGANDINGXINZHAIQUAN
002989,融通通乾研究精选混合,混合型-灵活,RTTQYJJXHH,RONGTONGTONGQIANYANJIUJINGXUANHUNHE
002991,嘉实稳鑫纯债债券,债券型-长债,JSWXCZZQ,JIASHIWENXINCHUNZHAIZHAIQUAN
002994,招商招裕纯债A,债券型-长债,ZSZYCZA,ZHAOSHANGZHAOYUCHUNZHAIA
002995,招商招裕纯债C,债券型-长债,ZSZYCZC,ZHAOSHANGZHAOYUCHUNZHAIC
002996,长信稳健纯债债券A,债券型-长债,CXWJCZZQA,CHANGXINWENJIANCHUNZHAIZHAIQUANA
002997,工银瑞享纯债债券A,债券型-长债,GYRXCZZQA,GONGYINRUIXIANGCHUNZHAIZHAIQUANA
003002,国金及第中短债债券A,债券型-中短债,GJJDZDZZQA,GUOJINJIDIZHONGDUANZHAIZHAIQUANA
003003,华夏现金增利货币A/E,货币型-普通货币,HXXJZLHBAE,HUAXIAXIANJINZENGLIHUOBIAE
003009,国联盈泽中短债A,债券型-中短债,GLYZZDZA,GUOLIANYINGZEZHONGDUANZHAIA
003010,国联盈泽中短债C,债券型-中短债,GLYZZDZC,GUOLIANYINGZEZHONGDUANZHAIC
003013,国联恒泰纯债A,债券型-长债,GLHTCZA,GUOLIANHENGTAICHUNZHAIA
003014,国联恒泰纯债C,债券型-长债,GLHTCZC,GUOLIANHENGTAICHUNZHAIC
003015,中金沪深300A,指数型-股票,ZJHS300A,ZHONGJINHUSHEN300A
003016,中金中证500A,指数型-股票,ZJZZ500A,ZHONGJINZHONGZHENG500A
003017,广发中证军工ETF联接A,指数型-股票,GFZZJGETFLJA,GUANGFAZHONGZHENGJUNGONGETFLIANJIEA
003022,建信现金添益货币A,货币型-普通货币,JXXJTYHBA,JIANXINXIANJINTIANYIHUOBIA
003023,博时景发纯债债券A,债券型-长债,BSJFCZZQA,BOSHIJINGFACHUNZHAIZHAIQUANA
003024,平安惠金定开债A,债券型-长债,PAHJDKZA,PINGANHUIJINDINGKAIZHAIA
003025,新华红利回报混合,混合型-灵活,XHHLHBHH,XINHUAHONGLIHUIBAOHUNHE
003026,安信新价值混合A,混合型-灵活,AXXJZHHA,ANXINXINJIAZHIHUNHEA
003027,安信新价值混合C,混合型-灵活,AXXJZHHC,ANXINXINJIAZHIHUNHEC
003028,安信新优选混合A,混合型-灵活,AXXYXHHA,ANXINXINYOUXUANHUNHEA
003029,安信新优选混合C,混合型-灵活,AXXYXHHC,ANXINXINYOUXUANHUNHEC
003030,安信新目标混合A,混合型-灵活,AXXMBHHA,ANXINXINMUBIAOHUNHEA
003031,安信新目标混合C,混合型-灵活,AXXMBHHC,ANXINXINMUBIAOHUNHEC
003032,平安医疗健康混合,混合型-灵活,PAYLJKHH,PINGANYILIAOJIANKANGHUNHE
003034,平安交易型货币A,货币型-普通货币,PAJYXHBA,PINGANJIAOYIXINGHUOBIA
003037,广发集瑞债券A,债券型-混合二级,GFJRZQA,GUANGFAJIRUIZHAIQUANA
003038,广发集瑞债券C,债券型-混合二级,GFJRZQC,GUANGFAJIRUIZHAIQUANC
003039,广发集富纯债A,债券型-长债,GFJFCZA,GUANGFAJIFUCHUNZHAIA
003040,广发集富纯债C,债券型-长债,GFJFCZC,GUANGFAJIFUCHUNZHAIC
003041,鑫元得利债券,债券型-长债,XYDLZQ,XINYUANDELIZHAIQUAN
003042,交银活期通货币A,货币型-普通货币,JYHQTHBA,JIAOYINHUOQITONGHUOBIA
003043,交银活期通货币E,货币型-普通货币,JYHQTHBE,JIAOYINHUOQITONGHUOBIE
003044,东方红战略精选混合A,混合型-偏债,DFHZLJXHHA,DONGFANGHONGZHANLUEJINGXUANHUNHEA
003045,东方红战略精选混合C,混合型-偏债,DFHZLJXHHC,DONGFANGHONGZHANLUEJINGXUANHUNHEC
003050,农银汇理金丰一年定开债,债券型-长债,NYHLJFYNDKZ,NONGYINHUILIJINFENGYINIANDINGKAIZHAI
003053,嘉实文体娱乐股票A,股票型,JSWTYLGPA,JIASHIWENTIYULEGUPIAOA
003054,嘉实文体娱乐股票C,股票型,JSWTYLGPC,JIASHIWENTIYULEGUPIAOC
003056,嘉实稳泽纯债债券A,债券型-长债,JSWZCZZQA,JIASHIWENZECHUNZHAIZHAIQUANA
003062,银华通利混合A,混合型-灵活,YHTLHHA,YINHUATONGLIHUNHEA
003063,银华通利混合C,混合型-灵活,YHTLHHC,YINHUATONGLIHUNHEC
003069,光大创业板量化优选A,股票型,GDCYBLHYXA,GUANGDACHUANGYEBANLIANGHUAYOUXUANA
003070,光大创业板量化优选C,股票型,GDCYBLHYXC,GUANGDACHUANGYEBANLIANGHUAYOUXUANC
003071,国联睿祥纯债A,债券型-长债,GLRXCZA,GUOLIANRUIXIANGCHUNZHAIA
003072,国联睿祥纯债C,债券型-长债,GLRXCZC,GUOLIANRUIXIANGCHUNZHAIC
003073,宏利汇利债券A,债券型-长债,HLHLZQA,HONGLIHUILIZHAIQUANA
003074,宏利汇利债券C,债券型-长债,HLHLZQC,HONGLIHUILIZHAIQUANC
003075,国联货币E,货币型-普通货币,GLHBE,GUOLIANHUOBIE
003078,泰康安惠纯债债券A,债券型-长债,TKAHCZZQA,TAIKANGANHUICHUNZHAIZHAIQUANA
003081,国联银行间1-3年中高等级信用债指数A,指数型-固收,GLYHJ13NZGDJXYZZSA,GUOLIANYINHANGJIAN13NIANZHONGGAODENGJIXINYONGZHAIZHISHUA
003082,国联银行间1-3年中高等级信用债指数C,指数型-固收,GLYHJ13NZGDJXYZZSC,GUOLIANYINHANGJIAN13NIANZHONGGAODENGJIXINYONGZHAIZHISHUC
003092,华商丰利增强定开债A,债券型-混合二级,HSFLZQDKZA,HUASHANGFENGLIZENGQIANGDINGKAIZHAIA
003093,华商丰利增强定开债C,债券型-混合二级,HSFLZQDKZC,HUASHANGFENGLIZENGQIANGDINGKAIZHAIC
003095,中欧医疗健康混合A,混合型-偏股,ZOYLJKHHA,ZHONGOUYILIAOJIANKANGHUNHEA
003096,中欧医疗健康混合C,混合型-偏股,ZOYLJKHHC,ZHONGOUYILIAOJIANKANGHUNHEC
003102,长盛盛裕纯债A,债券型-长债,CSSYCZA,CHANGSHENGSHENGYUCHUNZHAIA
003103,长盛盛裕纯债C,债券型-长债,CSSYCZC,CHANGSHENGSHENGYUCHUNZHAIC
003105,光大永鑫混合A,混合型-灵活,GDYXHHA,GUANGDAYONGXINHUNHEA
003106,光大永鑫混合C,混合型-灵活,GDYXHHC,GUANGDAYONGXINHUNHEC
003107,光大安祺债券A,债券型-混合二级,GDAQZQA,GUANGDAANQIZHAIQUANA
003108,光大安祺债券C,债券型-混合二级,GDAQZQC,GUANGDAANQIZHAIQUANC
003109,光大安和债券A,债券型-混合二级,GDAHZQA,GUANGDAANHEZHAIQUANA
003110,光大安和债券C,债券型-混合二级,GDAHZQC,GUANGDAANHEZHAIQUANC
003115,光大诚鑫混合A,混合型-灵活,GDCXHHA,GUANGDACHENGXINHUNHEA
003116,光大诚鑫混合C,混合型-灵活,GDCXHHC,GUANGDACHENGXINHUNHEC
003117,光大吉鑫混合A,混合型-灵活,GDJXHHA,GUANGDAJIXINHUNHEA
003118,光大吉鑫混合C,混合型-灵活,GDJXHHC,GUANGDAJIXINHUNHEC
003119,博时鑫源混合A,混合型-灵活,BSXYHHA,BOSHIXINYUANHUNHEA
003120,博时鑫源混合C,混合型-灵活,BSXYHHC,BOSHIXINYUANHUNHEC
003121,中信保诚稳利债券A,债券型-长债,ZXBCWLZQA,ZHONGXINBAOCHENGWENLIZHAIQUANA
003123,天治鑫利纯债债券A,债券型-长债,TZXLCZZQA,TIANZHIXINLICHUNZHAIZHAIQUANA
003124,天治鑫利纯债债券C,债券型-长债,TZXLCZZQC,TIANZHIXINLICHUNZHAIZHAIQUANC
003125,中科沃土沃鑫成长精选混合A,混合型-灵活,ZKWTWXCZJXHHA,ZHONGKEWOTUWOXINCHENGZHANGJINGXUANHUNHEA
003126,长信易进混合A,混合型-偏债,CXYJHHA,CHANGXINYIJINHUNHEA
003127,长信易进混合C,混合型-偏债,CXYJHHC,CHANGXINYIJINHUNHEC
003130,中信保诚稳利债券C,债券型-长债,ZXBCWLZQC,ZHONGXINBAOCHENGWENLIZHAIQUANC
003131,国寿安保强国智造混合,混合型-灵活,GSABQGZZHH,GUOSHOUANBAOQIANGGUOZHIZAOHUNHE
003132,德邦新回报灵活配置混合A,混合型-灵活,DBXHBLHPZHHA,DEBANGXINHUIBAOLINGHUOPEIZHIHUNHEA
003133,易方达裕鑫债券A,债券型-混合二级,YFDYXZQA,YIFANGDAYUXINZHAIQUANA
003134,易方达裕鑫债券C,债券型-混合二级,YFDYXZQC,YIFANGDAYUXINZHAIQUANC
003135,金元顺安沣楹债券,债券型-混合二级,JYSAFYZQ,JINYUANSHUNANFENGYINGZHAIQUAN
003142,鹏华弘达混合A,混合型-灵活,PHHDHHA,PENGHUAHONGDAHUNHEA
003143,鹏华弘达混合C,混合型-灵活,PHHDHHC,PENGHUAHONGDAHUNHEC
003144,华宝新机遇混合(LOF)C,混合型-灵活,HBXJYHHLOFC,HUABAOXINJIYUHUNHELOFC
003145,国联竞争优势,股票型,GLJZYS,GUOLIANJINGZHENGYOUSHI
003147,大成动态量化配置策略混合A,混合型-灵活,DCDTLHPZCLHHA,DACHENGDONGTAILIANGHUAPEIZHICELUEHUNHEA
003152,华富天鑫灵活配置混合A,混合型-灵活,HFTXLHPZHHA,HUAFUTIANXINLINGHUOPEIZHIHUNHEA
003153,华富天鑫灵活配置混合C,混合型-灵活,HFTXLHPZHHC,HUAFUTIANXINLINGHUOPEIZHIHUNHEC
003154,华宝新活力混合,混合型-灵活,HBXHLHH,HUABAOXINHUOLIHUNHE
003155,中加丰尚纯债债券A,债券型-长债,ZJFSCZZQA,ZHONGJIAFENGSHANGCHUNZHAIZHAIQUANA
003156,招商招悦纯债A,债券型-长债,ZSZYCZA,ZHAOSHANGZHAOYUECHUNZHAIA
003157,招商招悦纯债C,债券型-长债,ZSZYCZC,ZHAOSHANGZHAOYUECHUNZHAIC
003159,万家恒瑞18个月定开债A,债券型-长债,WJHR18GYDKZA,WANJIAHENGRUI18GEYUEDINGKAIZHAIA
003160,万家恒瑞18个月定开债C,债券型-长债,WJHR18GYDKZC,WANJIAHENGRUI18GEYUEDINGKAIZHAIC
003161,南方安泰混合A,混合型-偏债,NFATHHA,NANFANGANTAIHUNHEA
